Category,2021 Deaths,2022 Deaths,% Change in Deaths
Pedestrian,"29,124","32,825",12.7
share in Total,19,20,
Bicycles,"4,702","4,836",2.8
share in Total,3,3,
Two-wheelers,"69,385","74,897",7.9
share in Total,45,45,
Auto-Rickshaws,"5,966","6,596",10.6
share in Total,4,4,
"Cars, Taxis, Vans & LMVs","19,811","21,040",6.2
share in Total,12.9,12.5,
Trucks/Lorries,"9,476","10,584",11.7
share in Total,6.2,6.3,
Buses,"3,106","4,004",28.9
share in Total,2,2.4,
Other Non- Motor Vehicles (including e-rickshaw),"2,283","2,372",3.9
share in Total,1.5,1.4,
"Others (other motor vehicles, animals drawn vehicle, cycle rickshaws, hand carts, & other persons)","10,119","11,337",12
share in Total,6.6,6.7,
Total,"1,53,972","1,68,491",
