_id,Type of collision,2021 Accidents,2021 Killed,2021 Injured,2022 Accidents,2022 Killed,2022 Injured,% Change in Accidents,%Change in Killed,% Change in Injured
1,Hit and Run,"57,415","25,938","45,355","67,387","30,486","54,726",17.4,17.5,20.7
2,% share,13.9,16.8,11.8,14.6,18.1,12.3,,,
3,With parked Vehicle,"11,611","4,925","10,302","14,139","6,012","12,666",21.8,22.1,22.9
4,% share,2.82,3.2,2.68,3.1,3.6,2.9,,,
5,Hit from Back,"87,368","28,712","81,800","98,668","32,907","95,241",12.9,14.6,16.4
6,% share,21.2,18.6,21.3,21.4,19.5,21.5,,,
7,Hit from side,"60,221","18,299","59,396","71,146","20,357","72,190",18.1,11.2,21.5
8,% share,14.6,11.9,15.4,15.4,12.1,16.3,,,
9,Run off Road,"19,478","9,150","19,077","20,590","9,862","20,170",5.7,7.8,5.7
10,% share,4.7,5.9,5,4.5,5.9,4.5,,,
11,Fixed object,"14,436","6,600","12,665","15,368","7,307","14,829",6.5,10.7,17.1
12,% share,3.5,4.3,3.3,3.3,4.3,3.3,,,
13,Vehicle overturn,"19,303","9,122","19,336","20,070","9,827","21,138",4,7.7,9.3
14,% share,4.7,5.9,5,4.4,5.8,4.8,,,
15,Head on collision,"76,304","27,248","78,502","77,886","26,413","83,580",2.1,-3.1,6.5
16,% share,18.5,17.7,20.4,16.9,15.7,18.9,,,
17,Others,"66,296","23,978","58,015","76,058","25,320","68,826",14.7,5.6,18.6
18,% share,16.1,15.6,15.1,16.5,15,15.5,,,
19,Total,"4,12,432","1,53,972","3,84,448","4,61,312","1,68,491","4,43,366",11.9,9.4,15.3
