_id,Cities,Accidents 2021,Accidents 2022,Accidents Ranking 2021,Accidents Ranking 2022,Deaths 2021,Deaths 2022,Deaths Ranking 2021,Deaths Ranking 2022,Injured 2021,Injured 2022,Injured Ranking 2021,Injured Ranking 2022
1,Agra,915,"1,029",26,28,549,548,6,9,604,795,27,29
2,Ahmedabad,"1,433","1,711",19,19,404,488,11,11,"1,062","1,305",22,21
3,Allahabad(Prayagraj),"1,165","1,370",24,24,535,603,7,6,751,886,25,28
4,Amritsar,98,117,50,50,65,82,48,48,48,62,50,50
5,Asansol Durgapur,398,494,42,40,302,359,18,17,224,309,45,44
6,Aurangabad,471,528,37,38,154,199,36,34,388,370,37,42
7,Bengaluru,"3,213","3,822",5,4,654,772,3,2,"2,820","3,189",5,6
8,Bhopal,"2,616","3,313",6,6,253,348,26,20,"2,190","2,645",7,8
9,Chandigarh,208,237,47,47,96,83,46,47,172,203,46,45
10,Chennai,"5,034","3,452",1,5,998,507,2,10,"5,020","3,724",1,4
11,Coimbatore,866,"1,085",27,26,234,272,29,28,687,939,26,25
12,Delhi,"4,720","5,652",2,1,"1,239","1,461",1,1,"4,273","5,201",2,1
13,Dhanbad,187,179,48,48,123,114,43,45,108,73,49,49
14,Faridabad,505,594,35,35,211,263,30,30,423,452,34,37
15,Ghaziabad,824,886,28,30,395,363,12,16,551,638,30,30
16,Gwalior,"1,830","2,057",12,13,359,353,17,19,"1,340","1,498",18,18
17,Hyderabad,"2,273","2,516",8,9,297,323,19,23,"2,151","2,252",8,10
18,Indore,"3,676","4,680",4,2,484,639,8,5,"3,192","3,967",4,3
19,Jabalpur,"3,855","4,046",3,3,467,481,10,12,"3,756","4,181",3,2
20,Jaipur,"2,165","2,687",10,8,625,765,4,3,"1,791","2,167",11,12
21,Jamshedpur,152,167,49,49,65,68,48,49,134,115,48,48
22,Jodhpur,593,684,34,33,237,269,27,29,422,505,35,36
23,Kannur,"1,174","1,635",23,20,122,149,44,43,"1,327","2,118",19,14
24,Kanpur,"1,354","1,424",21,23,598,640,5,4,954,"1,011",24,24
25,Kozhikode,"1,377","2,054",20,14,131,195,41,36,"1,391","2,164",17,13
26,Kochi,"1,781","2,432",13,10,141,156,39,41,"1,758","2,361",12,9
27,Kolkata,"1,717","1,948",16,15,196,185,33,38,"1,418","1,718",16,16
28,Kollam,"1,552","2,082",17,12,184,214,35,31,"1,647","2,175",13,11
29,Kota,368,444,44,44,75,111,47,46,367,432,39,39
30,Lucknow,790,"1,349",30,25,261,587,24,7,521,935,31,26
31,Ludhiana,478,467,36,43,380,364,14,15,169,174,47,46
32,Madurai,618,744,33,32,154,192,36,37,506,601,33,33
33,Malappuram,"2,147","2,991",11,7,291,320,20,24,"2,384","3,499",6,5
34,Meerut,811,926,29,29,361,345,16,21,558,935,28,26
35,Mumbai,"2,230","1,895",9,17,387,371,13,14,"1,942","1,671",9,17
36,Nagpur,958,"1,080",25,27,268,310,23,25,964,"1,169",23,23
37,Nashik,470,479,38,41,185,207,34,33,403,540,36,35
38,Patna,384,275,43,46,210,198,31,35,285,121,44,47
39,Pune,741,871,31,31,255,325,25,22,556,608,29,32
40,Raipur,"1,763","1,911",14,16,472,583,9,8,"1,311","1,322",20,20
41,Rajkot,346,498,45,39,136,150,40,42,290,422,43,40
42,Srinagar,331,426,46,45,40,53,50,50,347,438,41,38
43,Surat,704,683,32,34,272,293,22,27,513,553,32,34
44,Thiruvanthapuram,"1,438","1,825",18,18,117,171,45,40,"1,515","1,911",15,15
45,Thrissur,"1,719","2,374",15,11,201,210,32,32,"1,875","2,711",10,7
46,Tiruchirappalli,399,542,41,36,130,149,42,43,377,624,38,31
47,Vadodara,464,478,39,42,146,181,38,39,349,378,40,41
48,Varanasi,423,539,40,37,236,294,28,26,310,330,42,43
49,Vijayawada city,"1,228","1,543",22,21,287,418,21,13,"1,081","1,367",21,19
50,Vizaq,"2,339","1,531",7,22,368,358,15,18,"1,533","1,288",14,22
51,Total,"67,301","76,752",,,"15,350","17,089",,,"58,758","69,052",,
